timestamp,type,exchange,symbol,futures_price,spot_price,basis,basis_percent,open_interest,volume_24h,put_call_ratio,implied_volatility,skew,funding_rate,funding_rate_percent,next_funding_time
2025-09-29T00:54:57.379244+00:00,funding,okx,BTC/USDT,,,,,,,,,,-1.49015542419e-05,-0.00149015542419,2025-09-29T08:00:00+00:00
2025-09-29T00:54:59.778415+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,9.2e-05,0.0092,2025-09-29T04:00:00+00:00
2025-09-29T04:15:25.476217+00:00,futures,bitmex,BTC/USDT,111718.8,111624.5,0.0008447966172301144,0.08447966172301144,0.0,21767184.82407,,,,,,
2025-09-29T04:15:26.442734+00:00,funding,okx,BTC/USDT,,,,,,,,,,6.61647122966e-05,0.00661647122966,2025-09-29T08:00:00+00:00
2025-09-29T04:15:27.658670+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,8e-06,0.0007999999999999999,2025-09-29T12:00:00+00:00
2025-09-29T08:18:25.165148+00:00,futures,bitmex,BTC/USDT,112028.20000000001,111974.5,0.0004795734743179174,0.04795734743179174,0.0,20558280.716450006,,,,,,
2025-09-29T08:18:25.392452+00:00,funding,okx,BTC/USDT,,,,,,,,,,2.53153588265e-05,0.00253153588265,2025-09-29T16:00:00+00:00
2025-09-29T08:18:27.285114+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,8e-06,0.0007999999999999999,2025-09-29T12:00:00+00:00
2025-09-29T12:23:56.808717+00:00,futures,bitmex,BTC/USDT,112206.90000000001,112170.0,0.0003289649638941672,0.03289649638941672,0.0,21420956.707110003,,,,,,
2025-09-29T12:23:57.018554+00:00,funding,okx,BTC/USDT,,,,,,,,,,-2.2149325941e-06,-0.00022149325940999998,2025-09-29T16:00:00+00:00
2025-09-29T12:23:59.129985+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,-6.3e-05,-0.0063,2025-09-29T20:00:00+00:00
2025-09-29T16:12:50.894830+00:00,futures,bitmex,BTC/USDT,113952.6,113876.5,0.0006682678164503284,0.06682678164503283,0.0,30679905.227460008,,,,,,
2025-09-29T16:12:51.113188+00:00,funding,okx,BTC/USDT,,,,,,,,,,2.88551549629e-05,0.00288551549629,2025-09-30T00:00:00+00:00
2025-09-29T16:12:52.945325+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,-6.3e-05,-0.0063,2025-09-29T20:00:00+00:00
2025-09-29T20:13:07.785850+00:00,futures,bitmex,BTC/USDT,114253.5,114271.5,-0.0001575195914991927,-0.01575195914991927,0.0,36260085.80262,,,,,,
2025-09-29T20:13:08.017831+00:00,funding,okx,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-30T00:00:00+00:00
2025-09-29T20:13:09.883825+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,-0.000101,-0.0101,2025-09-30T04:00:00+00:00
